"As discussed in class, this is the average house price based on the zip code (which is assumed as the zone), as provided by the Regression Team.",
,
zip,housePrice
30011,249114.8036
30017,255085.5316
30019,259172.9338
30024,300842.1211
30039,190396.1658
30043,232956.1262
30044,205660.866
30045,221078.0397
30046,181540.5781
30047,224924.8452
30052,212057.9244
30071,194222.2417
30078,216347.8236
30084,223518.6441
30087,190259.9042
30092,285565.6235
30093,158177.5235
30096,234157.0555
30097,300500.5031
30340,154318.413
30350,442300
30360,266008.9214
30517,239202.1127
30518,243527.0926
30519,254437.964
30548,296705.9113
30620,232841.6079
